,index,avg,name
0,1996-04,115988.6726,NH
1,1996-05,116006.3787,NH
2,1996-06,116166.4675,NH
3,1996-07,116534.1183,NH
4,1996-08,116852.503,NH
5,1996-09,117224.0473,NH
6,1996-10,117487.7811,NH
7,1996-11,117641.4793,NH
8,1996-12,118082.1598,NH
9,1997-01,118553.6391,NH
10,1997-02,119208.6509,NH
11,1997-03,119761.1479,NH
12,1997-04,120326.0414,NH
13,1997-05,120604.0414,NH
14,1997-06,120744.6805,NH
15,1997-07,120955.0533,NH
16,1997-08,121502.503,NH
17,1997-09,122257.4379,NH
18,1997-10,123000.7396,NH
19,1997-11,123793.9172,NH
20,1997-12,124446.4497,NH
21,1998-01,124963.4556,NH
22,1998-02,125449.8757,NH
23,1998-03,126100.6391,NH
24,1998-04,126848.6627,NH
25,1998-05,127434.4675,NH
26,1998-06,127740.2588,NH
27,1998-07,128356.0824,NH
28,1998-08,129146.8,NH
29,1998-09,130113.5059,NH
30,1998-10,131111.5059,NH
31,1998-11,131210.9302,NH
32,1998-12,131961.8081,NH
33,1999-01,132567.0698,NH
34,1999-02,133166.2139,NH
35,1999-03,133979.4624,NH
36,1999-04,135103.5954,NH
37,1999-05,136345.3353,NH
38,1999-06,137661.9827,NH
39,1999-07,139016.6879,NH
40,1999-08,140152.1734,NH
41,1999-09,140599.8103,NH
42,1999-10,141450.7471,NH
43,1999-11,143003.8506,NH
44,1999-12,144790.6667,NH
45,2000-01,146884.1771,NH
46,2000-02,148683.1086,NH
47,2000-03,150371.5657,NH
48,2000-04,151459.7143,NH
49,2000-05,152484.5314,NH
50,2000-06,153487.84,NH
51,2000-07,154915.0286,NH
52,2000-08,156419.4857,NH
53,2000-09,157844.0857,NH
54,2000-10,159466.2514,NH
55,2000-11,161232.4914,NH
56,2000-12,162956.1429,NH
57,2001-01,164587.9543,NH
58,2001-02,166411.3086,NH
59,2001-03,168231.8457,NH
60,2001-04,170055.1314,NH
61,2001-05,171822.7371,NH
62,2001-06,173580.2229,NH
63,2001-07,175411.4971,NH
64,2001-08,176933.52,NH
65,2001-09,178679.3829,NH
66,2001-10,180301.52,NH
67,2001-11,182165.1714,NH
68,2001-12,184094.3314,NH
69,2002-01,185987.3371,NH
70,2002-02,187767.6629,NH
71,2002-03,189188.7486,NH
72,2002-04,190757.0686,NH
73,2002-05,192024.5143,NH
74,2002-06,193633.7314,NH
75,2002-07,195224.0971,NH
76,2002-08,196981.6477,NH
77,2002-09,198909.608,NH
78,2002-10,201110.017,NH
79,2002-11,203090.6023,NH
80,2002-12,205150.0909,NH
81,2003-01,206932.875,NH
82,2003-02,209010.9432,NH
83,2003-03,211126.0057,NH
84,2003-04,212909.7443,NH
85,2003-05,214796.7841,NH
86,2003-06,216570.1648,NH
87,2003-07,219521.8305,NH
88,2003-08,221495.8701,NH
89,2003-09,223767.4802,NH
90,2003-10,226512.1525,NH
91,2003-11,228652.339,NH
92,2003-12,230249.7062,NH
93,2004-01,231634.5311,NH
94,2004-02,233377.565,NH
95,2004-03,235159.1921,NH
96,2004-04,236962.7514,NH
97,2004-05,239156.435,NH
98,2004-06,241497.7062,NH
99,2004-07,243648.2599,NH
100,2004-08,245634.7006,NH
101,2004-09,247745.7401,NH
102,2004-10,249304.2303,NH
103,2004-11,251617.5169,NH
104,2004-12,254021.7191,NH
105,2005-01,256515.1685,NH
106,2005-02,258709.1517,NH
107,2005-03,260815.1292,NH
108,2005-04,262959.9551,NH
109,2005-05,264863.4775,NH
110,2005-06,266380.118,NH
111,2005-07,267789.2303,NH
112,2005-08,269220.309,NH
113,2005-09,270809.9775,NH
114,2005-10,272599.1124,NH
115,2005-11,274374.3708,NH
116,2005-12,275895.3539,NH
117,2006-01,276948.3258,NH
118,2006-02,276516.3034,NH
119,2006-03,275890.3876,NH
120,2006-04,275627.8652,NH
121,2006-05,275676.5337,NH
122,2006-06,276085.3034,NH
123,2006-07,275860.8933,NH
124,2006-08,276472.7528,NH
125,2006-09,276495.0843,NH
126,2006-10,276017.5843,NH
127,2006-11,275128.3708,NH
128,2006-12,274185.2303,NH
129,2007-01,273573.0056,NH
130,2007-02,272739.691,NH
131,2007-03,272565.2022,NH
132,2007-04,271998.1517,NH
133,2007-05,271611.5843,NH
134,2007-06,270805.3034,NH
135,2007-07,270327.7865,NH
136,2007-08,270046.9382,NH
137,2007-09,269695.264,NH
138,2007-10,269282.7191,NH
139,2007-11,268523.0562,NH
140,2007-12,267411.8371,NH
141,2008-01,264993.7944,NH
142,2008-02,264319.5944,NH
143,2008-03,263674.0333,NH
144,2008-04,262801.5944,NH
145,2008-05,260741.0944,NH
146,2008-06,258393.3778,NH
147,2008-07,256372.4222,NH
148,2008-08,254774.8778,NH
149,2008-09,253438.3333,NH
150,2008-10,251519.1389,NH
151,2008-11,250082.1111,NH
152,2008-12,248409.6167,NH
153,2009-01,247410.9613,NH
154,2009-02,246513.3956,NH
155,2009-03,245550.1813,NH
156,2009-04,243707.1044,NH
157,2009-05,241981.6154,NH
158,2009-06,240328.2363,NH
159,2009-07,239122.6868,NH
160,2009-08,237460.587,NH
161,2009-09,236588.9511,NH
162,2009-10,235844.5598,NH
163,2009-11,235429.9402,NH
164,2009-12,235149.3478,NH
165,2010-01,235245.8804,NH
166,2010-02,234921.2174,NH
167,2010-03,234282.0707,NH
168,2010-04,233327.9239,NH
169,2010-05,232721.7772,NH
170,2010-06,232121.9402,NH
171,2010-07,231911.8913,NH
172,2010-08,232100.8641,NH
173,2010-09,232703.7011,NH
174,2010-10,232745.2935,NH
175,2010-11,232160.4837,NH
176,2010-12,231366.0217,NH
177,2011-01,230935.1848,NH
178,2011-02,231057.3315,NH
179,2011-03,230684.087,NH
180,2011-04,230014.6576,NH
181,2011-05,228846.5543,NH
182,2011-06,228267.163,NH
183,2011-07,227393.1848,NH
184,2011-08,226484.8495,NH
185,2011-09,225587.7937,NH
186,2011-10,225156.8201,NH
187,2011-11,224406.5979,NH
188,2011-12,223827.8201,NH
189,2012-01,222757.9844,NH
190,2012-02,221302.7165,NH
191,2012-03,220702.9124,NH
192,2012-04,220510.8918,NH
193,2012-05,220772.5619,NH
194,2012-06,221254.6564,NH
195,2012-07,221793.9897,NH
196,2012-08,222040.5282,NH
197,2012-09,221983.5816,NH
198,2012-10,222051.0305,NH
199,2012-11,222347.9239,NH
200,2012-12,223241.8141,NH
201,2013-01,223652.6231,NH
202,2013-02,224379.6131,NH
203,2013-03,225532.7286,NH
204,2013-04,226809.525,NH
205,2013-05,227983.2587,NH
206,2013-06,229016.8775,NH
207,2013-07,230390.9517,NH
208,2013-08,231000.4638,NH
209,2013-09,230732.481,NH
210,2013-10,231262.6777,NH
211,2013-11,232011.9671,NH
212,2013-12,232745.892,NH
213,2014-01,232746.3981,NH
214,2014-02,233516.9769,NH
215,2014-03,233674.0645,NH
216,2014-04,234181.7834,NH
217,2014-05,235483.4633,NH
218,2014-06,236291.0365,NH
219,2014-07,236277.9186,NH
220,2014-08,236971.6607,NH
221,2014-09,237463.0711,NH
222,2014-10,236765.4522,NH
223,2014-11,237116.4612,NH
224,2014-12,237342.0733,NH
225,2015-01,236713.4895,NH
226,2015-02,236928.8033,NH
227,2015-03,237527.5439,NH
228,2015-04,238382.7866,NH
